PPN;level;GOK;parent;DE;query;EN;
GEOLEO01140;4;GEOLEO01140;GEOLEO01110;Modellbildung {Geographie: Landschaftstypologie};lkl=QDN 160 or (fbg=DK 551.4.03);Modeling {Geography: Landscapes Types};
GEOLEO01150;3;GEOLEO01150;GEOLEO01100;Landschaftsökologie;lkl=QDN 300 or (fbg=DK 504.54*);Geoecology;
GEOLEO01160;3;GEOLEO01160;GEOLEO01100;Naturräumliche Gliederung;lkl=QDN 500 or (fbg=DK 574.9 or fbg=DK 551.581*);Landscape Systematics {Geography};
GEOLEO01170;4;GEOLEO01170;GEOLEO01160;Landschaftsplanung;lkl=QDN 600 or (fbg=DK 712*);Landscaping, Landscape Architecture {Geography};
GEOLEO01180;2;GEOLEO01180;GEOLEO00020;Anthropogeographie;lkl=QE 000 or (fbg=DK 911.53* or fbg=DK 911.3*);Human Geography, Anthropogeography;
GEOLEO01190;3;GEOLEO01190;GEOLEO01180;Geschichte der Anthropogeographie;lkl=QE 100 or ((fbg=DK 911.53* or fbg=DK 911.3*) and (fbg=DK 93/99));History of Human Geography;
GEOLEO01200;3;GEOLEO01200;GEOLEO01180;Theorie und Philosophie der Anthropogeographie;lkl=QE 200 or ((fbg=DK 911.53* or fbg=DK 911.3*) and (fbg=DK 1*));Theoretical Fundamentals and Philosophy of Human Geography;
GEOLEO01210;3;GEOLEO01210;GEOLEO01180;Methoden und Techniken der Anthropogeographie;lkl=QE 300 or ((fbg=DK 911.53* or fbg=DK 911.3*) and (fbg=DK 001.8));Methods and Techniques of Human Geography;
GEOLEO01220;3;GEOLEO01220;GEOLEO01180;Ausbildung, Beruf und Organisation der Anthropogeographie;lkl=QE 400 or ((fbg=DK 911.53* or fbg=DK 911.3*) and (fbg=DK 377*));Profession, Education, and Organization of Human Geography;
GEOLEO01230;3;GEOLEO01230;GEOLEO01180;Sozialgeographie im engeren Sinn;lkl=QEA 000 or ((fbg=DK 312*) and (fbg=DK 911.3*));Social Geography;
GEOLEO01240;4;GEOLEO01240;GEOLEO01230;Entwicklung und Stand der Sozialgeographie;lkl=QEA 100 or ((fbg=DK 312*) and (fbg=DK 911.3*));Evaluation and Level of Social Geography;
GEOLEO01250;4;GEOLEO01250;GEOLEO01230;Einzelaspekte der Forschung {Sozialgeographie};lkl=QEA 200 or ((fbg=DK 312*) and (fbg=DK 911.3*) or (fbg=DK 308*));Special Aspects of Research in Social Geography;
GEOLEO01260;5;GEOLEO01260;GEOLEO01250;Gesellschaft als Forschungsgegenstand {Sozialgeographie};lkl=QEA 220 or (fbg=DK 301*);Society in Research Interest {Social Geography};
GEOLEO01270;5;GEOLEO01270;GEOLEO01250;Sozialgeographische Gruppen;lkl=QEA 240 or (fbg=DK 301.18*);Social Geographical Groups;
GEOLEO01280;5;GEOLEO01280;GEOLEO01250;gender studies, feministische geographische Forschung;lkl=QEA 260 or (fbg=DK 312.94* or fbg=DK 159.922.1* or fbg=DK 396*);Gender Studies, Feminist Geographical Research {Geography};
GEOLEO01290;5;GEOLEO01290;GEOLEO01250;Sonstige Teilbereiche der Sozialgeographie;lkl=QEA 290 or (fbg=DK 911.3*);Other Partes of Social Geography;
GEOLEO01300;3;GEOLEO01300;GEOLEO01180;Geographische Umweltwahrnehmung und Raumbewertung;lkl=QEB 000 or (fbg=DK 911.3* or fbg=DK 502.05*);Geographical Ecological Perception and Appraisal;
GEOLEO01310;3;GEOLEO01310;GEOLEO01180;Verhaltenswissenschaftliche Geographie;lkl=QED 000 or ((fbg=DK 159.9) and (fbg=DK 911*));Behavioral Sciences in Geographic View;
GEOLEO01320;3;GEOLEO01320;GEOLEO01180;Geographie des Freizeitsverhaltens und des Tourismus;lkl=QEE 000 or ((fbg=DK 379.8*) and (fbg=DK 911*));Geography of Leisure Behavior and Tourism;
GEOLEO01330;4;GEOLEO01330;GEOLEO01320;Freizeiträume {Geographie};lkl=QEE 100 or (fbg=DK 379.82* or fbg=DK 379.84* or fbg=DK 379.81*);Leisure Space {Geography};
GEOLEO01340;4;GEOLEO01340;GEOLEO01320;Geographische Aspekte der Naherholung;lkl=QEE 200 or ((fbg=DK 379.82*) and (fbg=DK 911*));Geographic Aspects of Local Recreation;
GEOLEO01350;4;GEOLEO01350;GEOLEO01320;Tourismus in Entwicklungsländern {Geographie};lkl=QEE 300 or ((fbg=DK 379.85*) and (fbg=QG 020));Tourism in Development Countries {Geography};
GEOLEO01360;4;GEOLEO01360;GEOLEO01320;Ökologische Bedeutung des Tourismus {Geographie};lkl=QEE 400 or ((fbg=DK 379.85*) and (fbg=DK 574*));Ecologic Aspects of Tourism {Geography};
GEOLEO01370;4;GEOLEO01370;GEOLEO01320;Freizeit und Raumplanung {Geographie};lkl=QEE 500 or ((fbg=DK 379.8*) and (fbg=DK 711));Leisure Time and Development Planning {Geography};
GEOLEO01380;3;GEOLEO01380;GEOLEO01180;Medizinische Geographie;lkl=QEF 000 or ((fbg=DK 61) and (fbg=DK 911*));Medical Geography;
GEOLEO01390;3;GEOLEO01390;GEOLEO01180;Bevölkerungsgeographie und Wanderungsforschung;lkl=QEG 000 or ((fbg=DK 312*) and (fbg=DK 911* or fbg=DK 325* or fbg=DK 574.91));Population Geography and Migration Analysis;
GEOLEO01400;4;GEOLEO01400;GEOLEO01390;Bevölkerung im Raum {Geographie};lkl=QEG 100 or (fbg=DK 312.9*);Areal Population {Geography};
GEOLEO01410;4;GEOLEO01410;GEOLEO01390;Bevölkerungsstruktur {Geographie};lkl=QEG 200 or (fbg=DK 312.9*);Population Structure {Geography};
GEOLEO01420;4;GEOLEO01420;GEOLEO01390;Natürliche Bevölkerungsbewegung {Geographie};lkl=QEG 300 or (fbg=DK 325.11*);Natural Population Migration {Geography};
GEOLEO01430;4;GEOLEO01430;GEOLEO01390;Wanderung {Geographie};lkl=QEG 400 or (fbg=DK 574.91);Migration {Geography};
GEOLEO01440;4;GEOLEO01440;GEOLEO01390;Teilfragen zur Bevölkerungsgeographie;lkl=QEG 800 or (fbg=DK 911.3*);Particular Questions of Population Geography;
GEOLEO01450;3;GEOLEO01450;GEOLEO01180;Religionsgeographie;lkl=QEH 000 or ((fbg=DK 91*) and (fbg=DK 2*));Religion Geography;
GEOLEO01460;3;GEOLEO01460;GEOLEO01180;Politische Geographie, Geopolitik;lkl=QEI 000 or ((fbg=DK 911*) and (fbg=DK 32*));Political Geography, Geopolitics;
GEOLEO01470;2;GEOLEO01470;GEOLEO00020;Historische Geographie;lkl=QEK 000 or ((fbg=DK 911*) and (fbg=DK 93/99));Historical Geography;
GEOLEO01480;2;GEOLEO01480;GEOLEO00020;Physische Anthropogeographie/Humanökologie {Mensch-Umwelt-Ökosystem};lkl=QEL 000 or ((fbg=DK 599.9*) and (fbg=DK 911*) or (fbg=DK 572.9*));Physical Human Geography/Human Ecology {Human-Environment-Ecosystem};
