PPN;level;GOK;parent;DE;query;EN;
GEOLEO15560;4;GEOLEO15560;GEOLEO15550;Karten zum Verkehr;lkl=UQN 100 or ((fbg=DK 912) and (fbg=DK 656*));Maps: Traffic;
GEOLEO15570;5;GEOLEO15570;GEOLEO15560;Karten zum Straßenverkehr;lkl=UQN 110 or ((fbg=DK 912) and (fbg=DK 656.1*));Maps: Road Traffic;
GEOLEO15580;5;GEOLEO15580;GEOLEO15560;Karten zum Schienenverkehr;lkl=UQN 120 or ((fbg=DK 656.2* or fbg=DK 656.3* or fbg=DK 656.4*) and (fbg=DK 912));Maps: Rail Traffic;
GEOLEO15590;5;GEOLEO15590;GEOLEO15560;Karten zum Luftverkehr;lkl=UQN 130 or ((fbg=DK 912) and (fbg=DK 656.7*));Maps: Air Traffic;
GEOLEO15600;5;GEOLEO15600;GEOLEO15560;Karten zum Schiffsverkehr;lkl=UQN 140 or ((fbg=DK 912) and (fbg=DK 656.6*));Maps: Shipping Traffic;
GEOLEO15610;5;GEOLEO15610;GEOLEO15560;Karten zu Energiewegen;lkl=UQN 150 or ((fbg=DK 912) and (fbg=DK 620.9*));Maps: Energy Distribution;
GEOLEO15620;5;GEOLEO15620;GEOLEO15560;Karten zu Information und Kommunikation;lkl=UQN 160 or ((fbg=DK 656* or fbg=DK 654*) and (fbg=DK 912));Maps: Information and Communication;
GEOLEO15640;4;GEOLEO15640;GEOLEO15550;Karten zum Bergbau;lkl=UQN 300 or ((fbg=DK 912) and (fbg=DK 622*));Maps: Mining;
GEOLEO15650;5;GEOLEO15650;GEOLEO15640;Karten zum Erzbergbau;lkl=UQN 350 or ((fbg=DK 553.3* or fbg=DK 553.4* or fbg=DK 553.3/.4 or fbg=DK 622.34*) and (fbg=DK 912));Maps: Ore Mining;
GEOLEO15660;5;GEOLEO15660;GEOLEO15640;Karten zur Gewinnung fossiler Brennstoffe;lkl=UQN 370 or ((fbg=DK 553.9* or fbg=DK 622.3*) and (fbg=DK 912));Maps: Mining of Fossil Fuels;
GEOLEO15670;6;GEOLEO15670;GEOLEO15660;Karten zur Gewinnung von Erdgas, Erdöl;lkl=UQN 380 or ((fbg=DK 553.98* or fbg=DK 622.32*) and (fbg=DK 912));Maps: Crude Oil and Natural Gas;
GEOLEO15680;6;GEOLEO15680;GEOLEO15660;Karten zur Gewinnung von Kohle;lkl=UQN 390 or ((fbg=DK 553.9* or fbg=DK 622.33*) and ( fbg=DK 912) not (fbg=DK 553.98*));Maps: Coal Mining;
GEOLEO15690;5;GEOLEO15690;GEOLEO15640;Karten zur Gewinnung von Steinen und Erden;lkl=UQN 400 or ((fbg=DK 553.5* or fbg=DK 553.6* or fbg=DK 622.35* or fbg=DK 622.36*) and (fbg=DK 912));Maps: Mining of Industrial Minerals and Mass Rocks;
GEOLEO15700;5;GEOLEO15700;GEOLEO15640;Karten zur Gewinnung von Salzen;lkl=UQN 450 or ((fbg=DK 553.7* or fbg=DK 553.63* or fbg=DK 622.363*) and (fbg=DK 912));Maps: Extraction of Salt Deposits;
GEOLEO15710;5;GEOLEO15710;GEOLEO15640;Karten zur Gewinnung sonstiger Bodenschätze;lkl=UQN 500 or ((fbg=DK 553.3/9.* or fbg=DK 622.3*) and (fbg=DK 912));Maps: Extraction of Other Mineral and Natural Resources;
GEOLEO15720;5;GEOLEO15720;GEOLEO15640;Karten zum Entsorgungsbergbau, unterirdische Lagerung;lkl=UQN 550 or ((fbg=DK 622.69* or fbg=DK 628.396) and (fbg=DK 912));Maps: Underground Storage;
GEOLEO15730;3;GEOLEO15730;GEOLEO14610;Karten zu den Sozialwissenschaften;lkl=UQP 000 or ((fbg=DK 912) and (fbg=DK 3*));Maps: Social Sciences;
GEOLEO15740;4;GEOLEO15740;GEOLEO15730;Karten zur Soziologie;lkl=UQP 100 or ((fbg=DK 912) and (fbg=DK 30*));Maps: Sociology;
GEOLEO15750;5;GEOLEO15750;GEOLEO15740;Karten zur Sozialstruktur;lkl=UQP 120 or ((fbg=DK 912) and (fbg=DK 301.16*));Maps: Social Structure;
GEOLEO15760;5;GEOLEO15760;GEOLEO15740;Karten  zu sozialen Gruppen, Geschlechter, Alter, Ethnische Gruppen;lkl=UQP 140 or ((fbg=DK 912) and (fbg=DK 301.18*));Maps: Social Groups {Gender, Ages, and Ethnic Groups};
GEOLEO15770;5;GEOLEO15770;GEOLEO15740;Karten zu sozialen Fragen, sozialen Konflikten, Diskriminierung, Minderheiten, abweichendes Verhalten;lkl=UQP 150 or ((fbg=DK 912) and (fbg=DK 301.15*));Maps: Social Questions and Social Conflicts {Discrimination, Minorities, and Deviant Behavior};
GEOLEO15780;5;GEOLEO15780;GEOLEO15740;Karten zur Demographie;lkl=UQP 200 or ((fbg=DK 912) and (fbg=DK 312*));Maps: Demography;
GEOLEO15790;4;GEOLEO15790;GEOLEO15730;Karten zur Volks- und Völkerkunde;lkl=UQP 300 or ((fbg=DK 912) and (fbg=DK 39*));Maps: Ethnology and Folklore;
GEOLEO15800;5;GEOLEO15800;GEOLEO15790;Karten zur Volkskunde;lkl=UQP 330 or ((fbg=DK 912) and (fbg=DK 39*));Maps: Folklore;
GEOLEO15810;5;GEOLEO15810;GEOLEO15790;Karten zur Völkerkunde;lkl=UQP 350 or ((fbg=DK 912) and (fbg=DK 39*));Maps: Ethnology;
GEOLEO15820;5;GEOLEO15820;GEOLEO15790;Karten zur Soziologie: Sonstiges;lkl=UQP 500 or ((fbg=DK 912) and (fbg=DK 30*));Maps: Sociology - Others;
GEOLEO15830;3;GEOLEO15830;GEOLEO14610;Karten zur Geographie;lkl=UQQ 000 or ((fbg=DK 910* or fbg=DK 911* or fbg=DK 913*) and (fbg=DK 912));Maps: Geography;
GEOLEO15840;4;GEOLEO15840;GEOLEO15830;Karten zur Physischen Geographie;lkl=UQQ 100 or ((fbg=DK 912) and (fbg=DK 911.2));Maps: Physical Geography;
GEOLEO15850;5;GEOLEO15850;GEOLEO15840;Karten zur allgemeinen Naturlandschaftskunde;lkl=UQQ 200 or ((fbg=DK 912) and (fbg=DK 911.3));Maps: General Landscape Ecology;
GEOLEO15860;6;GEOLEO15860;GEOLEO15850;Karten zur Landschaftstypologie, Landschaftssystematik, Naturaumpotential;lkl=UQQ 210 or ((fbg=DK 551.4.03* or fbg=DK 504.54) and (fbg=DK 912));Maps: Landscape Types and Systematics;
GEOLEO15870;6;GEOLEO15870;GEOLEO15850;Karten zur Landschaftsökologie;lkl=UQQ 220 or ((fbg=DK 504.54* or fbg=DK 504.7*) and (fbg=DK 912));Maps: Geoecology;
GEOLEO15880;6;GEOLEO15880;GEOLEO15850;Karten zur naturräumlichen Gliederung;lkl=UQQ 230 or ((fbg=DK 504.54* or fbg=DK 911.5*) and (fbg=DK 912));Maps: Landscape Systematics;
GEOLEO15890;6;GEOLEO15890;GEOLEO15850;Karten zur Landschaftsplanung, Landschaftspflege;lkl=UQQ 240 or ((fbg=DK 912) and (fbg=DK 712));Maps: Landscaping and Landscape Architecture;
GEOLEO15900;4;GEOLEO15900;GEOLEO15830;Karten zur Anthropogeographie;lkl=UQQ 400 or ((fbg=DK 911.53* or fbg=DK 911.3*) and (fbg=DK 912));Maps: Human Geography, Anthropogeography;
GEOLEO15910;5;GEOLEO15910;GEOLEO15900;Karten zur Sozialgeographie;lkl=UQQ 410 or ((fbg=DK 912) and (fbg=DK 308*));Maps: Social Geography;
GEOLEO15930;5;GEOLEO15930;GEOLEO15900;Karten zur politischen Geographie;lkl=UQQ 430 or ((fbg=DK 912) and (fbg=DK 32*));Maps: Political Geography, Geopolitics;
GEOLEO15940;5;GEOLEO15940;GEOLEO15900;Karten zur historischen Geographie;lkl=UQQ 435 or ((fbg=DK 912) and (fbg=DK 93/99) and (fbg=DK 911*));Maps: Historical Geography;
GEOLEO15950;5;GEOLEO15950;GEOLEO15900;Karten zur Siedlungsgeographie;lkl=UQQ 440 or ((fbg=DK 325.11 or fbg=DK 911.37*) and (fbg=DK 912));Maps: Urban Geography, Settlement Geography;
GEOLEO15960;5;GEOLEO15960;GEOLEO15900;Karten zur Wirtschaftsgeographie;lkl=UQQ 450 or ((fbg=DK 911.3* or fbg=QG 000) and (fbg=DK 912));Maps: Economic Geography;
GEOLEO15970;4;GEOLEO15970;GEOLEO15830;Karten zur angewandten Geographie;lkl=UQQ 500 or ((fbg=DK 910* or fbg=DK 911* or fbg=DK 913*) and (fbg=DK 912));Maps: Applied Geography;
GEOLEO15980;4;GEOLEO15980;GEOLEO15830;Karten zu Reisen;lkl=UQQ 600 or ((fbg=DK 910.4* or fbg=DK 910.4) and (fbg=DK 912));Maps: Travels;
GEOLEO15990;4;GEOLEO15990;GEOLEO15830;Karten zur Entdeckungsgeschichte;lkl=UQQ 620 or ((fbg=DK 912) and (fbg=DK 910.4*) and (fbg=DK 93/99));Maps: Discovery Story;
GEOLEO16010;5;GEOLEO16010;GEOLEO16000;Karten zur Geschichte der Kartographie;lkl=UQQ 700 or ((fbg=DK 93/99) and (fbg=DK 528.9*));Maps: History of Cartography;
GEOLEO16015;5;GEOLEO16015;GEOLEO16000;Nachdrucke historischer Karten;lkl=UQQ 720;Maps: Reprints of Old Maps;
GEOLEO16020;5;GEOLEO16020;GEOLEO16000;Kartenherstellung, Musterblätter {Karten zur Geographie};lkl=UQQ 820 or ((fbg=DK 93/99) and (fbg=DK 528.92*));Map Making, Map Production;
GEOLEO16030;5;GEOLEO16030;GEOLEO16000;Kartengebrauch, Legenden {Karten zur Geographie};lkl=UQQ 830 or ((fbg=DK 93/99) and (fbg=DK 528.9*));Maps: Map Use;
GEOLEO16050;6;GEOLEO16050;GEOLEO16030;Kartenübersichten {Karten zur Geographie};lkl=UQQ 850 or ((fbg=DK 93/99) and (fbg=DK 528.9*));Map Synopses;
GEOLEO16060;5;GEOLEO16060;GEOLEO16000;Kartographie sonstiges {Karten zur Geographie};lkl=UQQ 890 or ((fbg=DK 93/99) and (fbg=DK 528.9*));Maps: Cartography: Others;
GEOLEO16070;3;GEOLEO16070;GEOLEO14610;Karten zu Raumordnung und Städtebau;lkl=UQR 100 or ((fbg=DK 912) and (fbg=DK 711*));Maps: Regional Planning and Urban Development;
GEOLEO16080;4;GEOLEO16080;GEOLEO16070;Karten zu nationaler und supranationaler Planung;lkl=UQR 130 or ((fbg=DK 711.21 or fbg=DK 711.22) and (fbg=DK 912));Maps: National and Supranational Planning;
GEOLEO16090;4;GEOLEO16090;GEOLEO16070;Karten zur Landesplanung;lkl=UQR 160 or ((fbg=DK 912) and (fbg=DK 711.24));Maps: Country Planning;
GEOLEO16100;5;GEOLEO16100;GEOLEO16090;Karten zur Regionalplanung;lkl=UQR 190 or ((fbg=DK 912) and (fbg=DK 711.25));Maps: Regional Planning;
GEOLEO16110;5;GEOLEO16110;GEOLEO16090;Karten zur Stadtplanung;lkl=UQR 220 or ((fbg=DK 711.28 or fbg=DK 711.27 or fbg=DK 711.433* or fbg=DK 711.434 or fbg=DK 711.435) and (fbg=DK 912));Maps: Urban Planning;
GEOLEO16120;5;GEOLEO16120;GEOLEO16090;Karten zur ländlichen Planung;lkl=UQR 250 or ((fbg=DK 711.436* or fbg=DK 711.437 or fbg=DK 711.438) and (fbg=DK 912));Maps: Rural Planning;
GEOLEO16130;5;GEOLEO16130;GEOLEO16090;Karten zur Verkehrsplanung, Verkehrspolitik;lkl=UQR 280 or ((fbg=DK 912) and (fbg=DK 711.7*));Maps: Transportation Planning and Transportation Politics;
GEOLEO16140;5;GEOLEO16140;GEOLEO16090;Karten zur Raumordnung: sonstiges;lkl=UQR 320 or ((fbg=DK 912) and (fbg=DK 711*));Maps: Environmental and Regional Planning;
GEOLEO16150;3;GEOLEO16150;GEOLEO14610;Karten zu Sport, Freizeit und Erholung;lkl=UQR 600 or ((fbg=DK 79* or fbg=DK 712.25) and (fbg=DK 912));Maps: Sport, Leisure Time, and Recreation;
GEOLEO16160;3;GEOLEO16160;GEOLEO14610;Karten zum Bildungswesen;lkl=UQR 700 or ((fbg=DK 912) and (fbg=DK 37*));Maps: Education System;
GEOLEO16170;3;GEOLEO16170;GEOLEO14610;Karten zur Wirtschaft;lkl=UQS 000 or ((fbg=QG 000 or fbg=QY 000) and (fbg=DK 912));Maps: Economy;
GEOLEO16180;4;GEOLEO16180;GEOLEO16170;Karten zu Wirtschaftssystemen;lkl=UQS 100 or ((fbg=QG 001 or fbg=QY 001) and (fbg=DK 912));Maps: Economic Systems;
GEOLEO16190;4;GEOLEO16190;GEOLEO16170;Karten zu Wirtschaftszweigen;lkl=UQS 200 or ((fbg=QG 002 or fbg=QY 002) and (fbg=DK 912));Maps: Branches of the Economy;
GEOLEO16200;5;GEOLEO16200;GEOLEO16190;Karten zu Energie, Bergbau, Agrar- und Forstwirtschaft;lkl=UQS 230 or ((fbg=DK 620.9* or fbg=DK 622* or fbg=QR 53*) and (fbg=DK 912));Maps: Energy, Mining, Agriculture, and Forestry;
GEOLEO16210;5;GEOLEO16210;GEOLEO16190;Karten zum produzierenden Gewerbe;lkl=UQS 290 or ((fbg=QR 52* or fbg=QR 55*) and (fbg=DK 912));Maps: Productions Industries;
GEOLEO16220;5;GEOLEO16220;GEOLEO16190;Karten zum Dienstleistunggewerbe;lkl=UQS 320 or ((fbg=QR 56* or fbg=QR 57*) and (fbg=DK 912));Maps: Services;
GEOLEO16230;5;GEOLEO16230;GEOLEO16190;Karten zu Handel und Versicherung;lkl=UQS 350 or ((fbg=DK 339* or fbg=DK 368* or fbg=QR 54*) and (fbg=DK 912));Maps: Trade and Insurances;
GEOLEO16240;5;GEOLEO16240;GEOLEO16190;Karten zu sonstigen Wirtschaftszweigen;lkl=UQS 420 or ((fbg=QG 001 or fbg=QY 001) and (fbg=DK 912));Maps: Other Branches of Economy;
GEOLEO16250;4;GEOLEO16250;GEOLEO16170;Karten zur Volkswirtschaft;lkl=UQS 500 or ((fbg=DK 912) and (fbg=QG 000));Maps: National and Political Economics;
GEOLEO16260;3;GEOLEO16260;GEOLEO14610;Karten zu Recht und Verwaltung;lkl=UQT 000 or ((fbg=DK 34* or fbg=DK 35*) not (fbg=DK 355/359) and (fbg=DK 912));Maps: Legislation and Administration;
GEOLEO16270;4;GEOLEO16270;GEOLEO16260;Karten zum Recht;lkl=UQT 100 or ((fbg=DK 912) and (fbg=DK 34*));Maps: Legislation;
GEOLEO16280;4;GEOLEO16280;GEOLEO16260;Verwaltungskarten;lkl=UQT 200 or ((fbg=DK 912) and (dbg=DK 35*) not (fbg=DK 355/359));Maps: Administration;
GEOLEO16290;5;GEOLEO16290;GEOLEO16280;Karten zu Organen und Behörden;lkl=UQT 220 or ((fbg=DK 351* or fbg=DK 352* or fbg=DK 353* or fbg=DK 354*) and (fbg=DK 912));Maps: Agencies and Public Authorities;
GEOLEO16300;6;GEOLEO16300;GEOLEO16290;Karten zur Reichs-, Bundes- und Länderverwaltung;lkl=UQT 230 or ((fbg=DK 353* or fbg=DK 354*) and (fbg=DK 912));Maps: Administration of the Reich, the Federal Republic, and the Federal Staates;
GEOLEO16310;6;GEOLEO16310;GEOLEO16290;Karten zu Provinz- und Regierungsbezirksverwaltung;lkl=UQT 250 or ((fbg=DK 912) and (fbg=DK 353*));Maps: Administration  of Provinces and Districts;
GEOLEO16320;6;GEOLEO16320;GEOLEO16290;Karten zur Kommunalverwaltung;lkl=UQT 270 or ((fbg=DK 912) and (fbg=DK 352*));Maps: Municipal Government;
GEOLEO16330;6;GEOLEO16330;GEOLEO16290;Karten zu Anstalten und Stiftungen des öffentlichen Rechts;lkl=UQT 290 or ((fbg=DK 061.27 or fbg=DK 347.195) and (fbg=DK 912));Maps: Institutions and Foundations of the Public Law;
GEOLEO16340;6;GEOLEO16340;GEOLEO16290;Karten zu sonstigen Körperschaften;lkl=UQT 310 or ((fbg=DK 912) and (fbg=DK 347.19*));Maps: Other Corporations;
GEOLEO16350;5;GEOLEO16350;GEOLEO16280;Karten zu Polizei- und Ordnungswesen;lkl=UQT 410 or ((fbg=DK 912) and (fbg=DK 351*));Maps: Police Force;
GEOLEO16360;5;GEOLEO16360;GEOLEO16280;Karten zu Finanz- und Steuerwesen;lkl=UQT 430 or ((fbg=DK 912) and (fbg=QL 4*));Maps: Finance and Taxation;
GEOLEO16370;5;GEOLEO16370;GEOLEO16280;Karten zu Post, Fernmeldewesen;lkl=UQT 450 or ((fbg=DK 912) and (fbg=DK 654*));Maps: Postal System and Communications;
GEOLEO16380;5;GEOLEO16380;GEOLEO16280;Karten zur Kulturverwaltung;lkl=UQT 470 or ((fbg=DK 912) and (fbg=DK 351.85*));Maps: Cultural Administration;
GEOLEO16390;5;GEOLEO16390;GEOLEO16280;Sonstige Verwaltungskarten;lkl=UQT 490 or ((fbg=DK 912) and (fbg=DK 35));Maps: Other Questions of Administration;
GEOLEO16400;4;GEOLEO16400;GEOLEO16260;Karten zur Politologie;lkl=UQT 600 or ((fbg=DK 912) and (fbg=DK 32*));Maps: Political Science;
GEOLEO16410;5;GEOLEO16410;GEOLEO16400;Karten zu politischen Ideologien;lkl=UQT 610 or ((fbg=DK 912) and (fbg=DK 323.2*));Maps: Political Ideologies;
GEOLEO16420;5;GEOLEO16420;GEOLEO16400;Karten zu politischen Systemen;lkl=UQT 620 or ((fbg=DK 912) and (fbg=QD 000));Maps: Political Systems;
GEOLEO16430;5;GEOLEO16430;GEOLEO16400;Karten zu politischen Organisationen;lkl=UQT 630 or ((fbg=DK 912) and (fbg=DK 32*));Maps: Political Organizations;
GEOLEO16440;5;GEOLEO16440;GEOLEO16400;Karten zu politische Prozessen;lkl=UQT 640 or ((fbg=DK 912) and (fbg=DK 32*));Maps: Political Processes;
GEOLEO16450;5;GEOLEO16450;GEOLEO16400;Karten zur Kriegskunde;lkl=UQT 650 or ((fbg=DK 355* or fbg=DK 356* or fbg=DK 357* or fbg=DK 358* or fbg=DK 359*) and (fbg=DK 912));Maps: War Research/Military Science;
GEOLEO16460;5;GEOLEO16460;GEOLEO16400;Karten zur politischen Beteiligung, Wahlen;lkl=UQT 700 or ((fbg=DK 912) and (fbg=DK 324*));Maps: Political Awareness {Elections};
GEOLEO16470;2;GEOLEO16470;GEOLEO00030;Karten nach Regionen;lkl=UR 000 or ((fbg=DK 914/919 or fbg=QG 000) and (fbg=DK 912));Regional Maps;
GEOLEO16480;3;GEOLEO16480;GEOLEO16470;Karten: Gesamte Erde;lkl=UR 100 or ((fbg=DK 914/919 or fbg=QG 000) and (fbg=DK 912));Maps: World;
GEOLEO16490;3;GEOLEO16490;GEOLEO16470;Karten: Nordhalbkugel;lkl=UR 120 or ((fbg=DK 914/919 or fbg=QG 000) and (fbg=DK 912));Maps: Northern Hemisphere;
GEOLEO16500;3;GEOLEO16500;GEOLEO16470;Karten: Südhalbkugel;lkl=UR 140 or ((fbg=DK 914/919 or fbg=QG 000) and (fbg=DK 912));Maps: Southern Hemisphere;
GEOLEO16510;3;GEOLEO16510;GEOLEO16470;Karten: Eurasien;lkl=UR 160 or ((fbg=DK 914* or fbg=DK 915*) and (fbg=DK 912));Maps: Eurasia;
GEOLEO16520;3;GEOLEO16520;GEOLEO16470;Karten: Industrieländer;lkl=UR 200 or ((fbg=DK 912) and (fbg=QG 010));Maps: Industrialized Countries;
GEOLEO16530;3;GEOLEO16530;GEOLEO16470;Karten: Entwicklungsländer;lkl=UR 250 or ((fbg=DK 912) and (fbg=QG 020));Maps: Developing Countries;
GEOLEO16540;3;GEOLEO16540;GEOLEO16470;Karten: Landschaftsgürtel und Großlandschaften der Erde;lkl=UR 300 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Landscapes and Large Areas of Earth;
GEOLEO16550;4;GEOLEO16550;GEOLEO16540;Karten: Arktische und subarktische Zonen;lkl=UR 320 or ((fbg=DK 919.8* or fbg=DK 919.9) and (fbg=DK 912));Maps: Arctic and Subarctic Zone;
GEOLEO16560;4;GEOLEO16560;GEOLEO16540;Karten: Nördliche Waldzone;lkl=UR 340 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Boreal Forest Zone;
GEOLEO16570;4;GEOLEO16570;GEOLEO16540;Karten: Humide Zonen;lkl=UR 360 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Humid Zone;
GEOLEO16580;4;GEOLEO16580;GEOLEO16540;Karten: Tropische und subtropische Zonen;lkl=UR 380 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Tropical and Subtropical Zone;
GEOLEO16590;4;GEOLEO16590;GEOLEO16540;Karten: Semiaride Zonen;lkl=UR 400 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Semi-Arid Zone;
GEOLEO16600;4;GEOLEO16600;GEOLEO16540;Karten: Aride Zonen;lkl=UR 420 or ((fbg=DK 912) and (fbg=DK 914/919));Maps: Arid Zone;
GEOLEO16610;4;GEOLEO16610;GEOLEO16540;Karten: Gebirge der Erde;lkl=UR 500 or ((fbg=DK 912) and (fbg=DK 551.4.035));Maps: World Mountains;
GEOLEO16620;4;GEOLEO16620;GEOLEO16540;Karten: Küstenzonen der Erde;lkl=UR 600 or ((fbg=DK 912) and (fbg=DK 551.46*));Maps: Coastal Zone of the Earth;
GEOLEO16630;3;GEOLEO16630;GEOLEO16470;Karten: Europa;lkl=URA 000 or ((fbg=DK 912) and (fbg=DK 914));Maps: Europe;
GEOLEO16640;4;GEOLEO16640;GEOLEO16630;Karten: Westeuropa i.S.v. Kapitalist. Europa;lkl=URA 100 or ((fbg=DK 914.4* or fbg=DK 914.93* or fbg=DK 914.92* or fbg=DK 914.359* or fbg=DK 914.1* or fbg=DK 914.2*) and (fbg=DK 912));Maps: Western Europe {means: Capitalist Countries};
GEOLEO16650;4;GEOLEO16650;GEOLEO16630;Karten: Europäische Gemeinschaft;lkl=URA 200 or ((fbg=DK 912) and (fbg=DK 914));Maps: European Community;
GEOLEO16660;4;GEOLEO16660;GEOLEO16630;Karten: Mitteleuropa;lkl=URB 000 or ((fbg=DK 914.3* or fbg=DK 914.94* or fbg=DK 914.971.2*) and (fbg=DK 912));Maps: Central Europe;
GEOLEO16670;4;GEOLEO16670;GEOLEO16630;Karten: Deutschland in den Grenzen vor 1939;lkl=URB 100 or ((fbg=DK 914.321* or fbg=DK 914.30*) and (fbg=DK 912));Maps: Germany {Borders before1939};
GEOLEO16680;4;GEOLEO16680;GEOLEO16630;Karten: Bundesrepublik Deutschland in den Grenzen bis 1989;lkl=URB 120 or ((fbg=DK 914.321* or fbg=DK 914.30*) and (fbg=DK 912));Maps: Federal Republic of Germany {Border till 1989};
GEOLEO16690;4;GEOLEO16690;GEOLEO16630;Karten: Deutsche Demokratische Republik in den Grenzen bis 1989;lkl=URB 140 or ((fbg=DK 914.321* or fbg=DK 914.302*) and (fbg=DK 912));Maps: German Democratic Republic {Border till 1989};
GEOLEO16700;4;GEOLEO16700;GEOLEO16630;Karten: Bundesrepublik Deutschland - administrative Gliederung - in den Grenzen nach 1989;lkl=URB 400 or ((fbg=DK 914.321* or fbg=DK 914.30*) and (fbg=DK 912));Maps: Federal Republic of Germany - Administrative Distribution {Bordern after 1989};
GEOLEO16710;5;GEOLEO16710;GEOLEO16700;Karten: Norddeutschland;lkl=URB 410 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 912));Maps: North Germany;
GEOLEO16720;6;GEOLEO16720;GEOLEO16710;Karten: Nordwestdeutschland;lkl=URB 415 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH) and (fbg=DK 912));Maps: Northwest Germany;
GEOLEO16730;7;GEOLEO16730;GEOLEO16720;Karten: Niedersachsen;lkl=URB 430 or ((fbg=DK 912) and (fbg=DK 914.30NI/HB));Maps: Lower Saxony;
GEOLEO16740;8;GEOLEO16740;GEOLEO16730;Karten: ehemaliger Regierungsbezirk Weser-Ems;lkl=URB 441 or ((fbg=DK 913) and (fbg=DK 914.30NI/HB));Maps: Weser-Ems Region;
GEOLEO16750;8;GEOLEO16750;GEOLEO16730;Karten: ehemaliger Regierungsbezirk Braunschweig;lkl=URB 442 or ((fbg=DK 914) and (fbg=DK 914.30NI/HB));Maps: Brunswick Region;
GEOLEO16760;8;GEOLEO16760;GEOLEO16730;Karten: ehemaliger Regierungsbezirk Hannover;lkl=URB 443 or ((fbg=DK 915) and (fbg=DK 914.30NI/HB));Maps: Hannover Region;
GEOLEO16770;8;GEOLEO16770;GEOLEO16730;Karten: ehemaliger Regierungsbezirk Lüneburg;lkl=URB 445 or ((fbg=DK 916) and (fbg=DK 914.30NI/HB));Maps: Lueneburg Region;
GEOLEO16780;8;GEOLEO16780;GEOLEO16730;Karten, einzelne Orte Niedersachsens: Braunschweig;lkl=URB 461 or ((fbg=DK 917) and (fbg=DK 914.30NI/HB));Maps: Brunswick;
GEOLEO16790;9;GEOLEO16790;GEOLEO16780;Karten, einzelne Orte Niedersachsens: Göttingen;lkl=URB 462 or ((fbg=DK 918) and (fbg=DK 914.30NI/HB));Maps: Goettingen;
GEOLEO16800;9;GEOLEO16800;GEOLEO16780;Karten, einzelne Orte Niedersachsens: Hannover;lkl=URB 463 or ((fbg=DK 919) and (fbg=DK 914.30NI/HB));Maps: Hannover;
GEOLEO16810;9;GEOLEO16810;GEOLEO16780;Karten, einzelne Orte Niedersachsens: Hildesheim;lkl=URB 464 or ((fbg=DK 920) and (fbg=DK 914.30NI/HB));Maps: Hildesheim;
GEOLEO16820;9;GEOLEO16820;GEOLEO16780;Karten, einzelne Orte Niedersachsens: Oldenburg;lkl=URB 465 or ((fbg=DK 921) and (fbg=DK 914.30NI/HB));Maps: Oldenburg;
GEOLEO16830;9;GEOLEO16830;GEOLEO16780;Karten, einzelne Orte Niedersachsens: Osnabrück;lkl=URB 466 or ((fbg=DK 922) and (fbg=DK 914.30NI/HB));Maps: Osnabrueck;
GEOLEO16840;8;GEOLEO16840;GEOLEO16730;Karten, einzelne Orte Niedersachsens: übrige Orte;lkl=URB 469 or ((fbg=DK 923) and (fbg=DK 914.30NI/HB));Maps: Other Locations of Lower Saxony;
GEOLEO16850;8;GEOLEO16850;GEOLEO16730;Karten, einzelne Orte Niedersachsens: ehem. Territorien von Niedersachsen;lkl=URB 490 or ((fbg=DK 924) and (fbg=DK 914.30NI/HB));Maps: Former Territories of Lower Saxony;
GEOLEO16860;7;GEOLEO16860;GEOLEO16720;Karten: Schleswig-Holstein;lkl=URB 500 or ((fbg=DK 912) and (fbg=DK 914.30SH/HH));Maps: Schleswig-Holstein;
GEOLEO16870;8;GEOLEO16870;GEOLEO16860;Karten: Landesteile Schleswig-Holsteins;lkl=URB 510 or ((fbg=DK 912) and (fbg=DK 914.30SH/HH));Maps: Country Parts of Schleswig-Hostein;
GEOLEO16880;7;GEOLEO16880;GEOLEO16720;Karten: Bremen, Stadt und Land;lkl=URB 530 or ((fbg=DK 912) and (fbg=DK 914.30NI/HB));Maps: Bremen {City and Country};
GEOLEO16890;7;GEOLEO16890;GEOLEO16720;Karten: Hamburg, Stadt und Land;lkl=URB 540 or ((fbg=DK 912) and (fbg=DK 914.30SH/HH));Maps: Hamburg {City and Country};
GEOLEO16900;6;GEOLEO16900;GEOLEO16710;Karten: Nordostdeutschland;lkl=URB 550 or ((fbg=DK 912) and (fbg=DK 914.30MV));Maps: Northeast Germany;
GEOLEO16910;7;GEOLEO16910;GEOLEO16900;Karten: Mecklenburg-Vorpommern;lkl=URB 570 or ((fbg=DK 912) and (fbg=DK 914.30MV));Maps: Mecklenburg-Vorpommern;
GEOLEO16920;8;GEOLEO16920;GEOLEO16910;Karten: Landesteile Mecklenburg-Vorpommerns;lkl=URB 573 or ((fbg=DK 912) and (fbg=DK 914.30MV));Maps: Country Parts of Mecklenburg-Vorpommern;
